日期,访客数,商品浏览,加购,下单,支付
2025-09-01,234,141,49,20,17
2025-09-02,237,127,41,15,12
2025-09-03,220,114,38,17,14
2025-09-04,144,83,27,12,10
2025-09-05,236,134,48,17,15
2025-09-06,255,155,45,18,15
2025-09-07,198,122,39,16,14
2025-09-08,278,136,41,14,11
2025-09-09,249,146,41,14,11
2025-09-10,257,140,42,16,12
2025-09-11,250,142,49,18,15
2025-09-12,251,144,46,17,14
2025-09-13,270,155,49,18,15
2025-09-14,267,155,52,21,17
2025-09-15,260,139,45,17,13
2025-09-16,224,117,39,17,13
2025-09-17,228,134,44,18,15
2025-09-18,160,84,28,12,10
2025-09-19,194,118,37,13,10
2025-09-20,227,120,41,16,13
2025-09-21,337,182,54,22,17
2025-09-22,148,81,26,11,9
2025-09-23,242,122,42,16,13
2025-09-24,192,97,31,12,10
2025-09-25,299,173,54,21,17
2025-09-26,306,153,56,22,17
2025-09-27,223,140,49,23,19
2025-09-28,299,164,53,22,18
2025-09-29,236,123,37,15,12
2025-09-30,291,164,46,17,14
2025-10-01,256,122,41,15,12
2025-10-02,116,63,22,9,8
2025-10-03,139,76,25,11,9
2025-10-04,484,248,71,28,23
2025-10-05,186,99,32,13,11
2025-10-06,124,74,23,9,8
2025-10-07,239,133,43,15,13
2025-10-08,58,33,12,5,4
2025-10-09,243,128,43,17,14
2025-10-10,152,78,26,11,9
2025-10-11,265,144,46,19,16
2025-10-12,407,194,64,24,19
2025-10-13,181,94,29,12,11
2025-10-14,353,181,60,22,20
2025-10-15,315,154,49,20,16
2025-10-16,242,138,42,17,13
2025-10-17,179,98,33,15,13
2025-10-18,340,181,50,19,17
2025-10-19,203,116,36,13,10
2025-10-20,227,114,38,15,13
2025-10-21,107,55,19,8,6
2025-10-22,342,200,66,21,16
2025-10-23,205,127,39,17,14
2025-10-24,219,125,40,16,14
2025-10-25,265,150,49,18,15
2025-10-26,244,130,46,18,15
2025-10-27,125,67,23,9,8
2025-10-28,242,135,46,17,15
2025-10-29,241,143,46,16,13
2025-10-30,319,180,54,23,18
2025-10-31,241,140,41,16,14
2025-11-01,310,162,51,20,17
2025-11-02,230,131,44,19,16
2025-11-03,145,77,24,10,8
2025-11-04,151,84,28,10,9
2025-11-05,270,154,47,20,16
2025-11-06,157,84,26,12,10
2025-11-07,86,45,16,7,6
2025-11-08,110,62,21,8,7
2025-11-09,243,133,42,15,13
2025-11-10,505,280,85,32,25
2025-11-11,765,436,148,60,50
2025-11-12,154,91,31,14,12
2025-11-13,221,126,42,16,13
2025-11-14,272,154,49,19,15
2025-11-15,200,107,32,14,12
2025-11-16,248,134,43,17,14
2025-11-17,166,94,33,15,12
2025-11-18,276,149,45,18,14
2025-11-19,248,140,45,20,17
2025-11-20,230,121,43,18,15
2025-11-21,120,73,23,10,9
2025-11-22,311,173,55,22,18
2025-11-23,135,75,22,9,8
2025-11-24,308,165,55,23,18
2025-11-25,225,137,42,18,15
2025-11-26,403,207,60,25,20
2025-11-27,230,122,37,13,11
2025-11-28,234,135,44,18,14
2025-11-29,174,97,28,11,10
2025-11-30,262,140,41,16,14
2025-12-01,253,135,45,19,15
2025-12-02,97,53,17,8,7
2025-12-03,269,149,45,18,14
2025-12-04,159,95,30,14,12
2025-12-05,212,121,43,16,12
2025-12-06,203,118,41,18,15
2025-12-07,292,157,50,21,17
2025-12-08,125,71,24,10,9
2025-12-09,202,102,33,15,13
2025-12-10,131,73,21,8,7
2025-12-11,218,121,34,15,13
2025-12-12,542,328,99,39,32
2025-12-13,301,180,52,20,17
2025-12-14,372,202,66,24,20
2025-12-15,146,77,24,11,9
2025-12-16,102,54,18,8,7
2025-12-17,330,179,59,23,19
2025-12-18,166,98,33,14,12
2025-12-19,216,122,37,15,11
2025-12-20,175,99,33,13,11
2025-12-21,236,136,41,18,15
2025-12-22,234,122,41,16,13
2025-12-23,257,136,47,16,13
2025-12-24,125,71,24,10,8
2025-12-25,431,227,72,29,22
2025-12-26,321,162,54,21,17
2025-12-27,139,72,21,8,7
2025-12-28,392,228,65,23,19
2025-12-29,230,124,41,16,14
2025-12-30,330,184,64,24,19
2025-12-31,331,172,51,22,18
2026-01-01,115,65,21,9,8
2026-01-02,173,94,31,12,10
2026-01-03,259,146,45,19,16
2026-01-04,220,118,37,15,12
2026-01-05,132,75,25,10,9
2026-01-06,243,130,42,17,13
2026-01-07,310,170,55,25,20
2026-01-08,245,133,40,17,14
2026-01-09,226,125,40,16,13
2026-01-10,252,141,44,19,16
2026-01-11,82,44,14,6,5
2026-01-12,199,109,34,14,12
2026-01-13,196,109,35,14,12
2026-01-14,221,125,38,15,12
2026-01-15,272,149,48,18,15
2026-01-16,164,86,27,11,9
2026-01-17,280,155,47,18,15
2026-01-18,173,99,28,11,10
2026-01-19,160,82,28,12,10
2026-01-20,227,116,39,18,14
2026-01-21,252,134,41,17,14
2026-01-22,146,80,27,11,9
2026-01-23,218,106,32,13,11
2026-01-24,218,124,39,17,14
2026-01-25,372,203,63,26,22
2026-01-26,289,139,44,18,15
2026-01-27,307,159,53,22,18
2026-01-28,330,179,56,20,16
2026-01-29,326,162,51,21,16
2026-01-30,148,86,29,11,9
2026-01-31,212,118,38,16,13
2026-02-01,266,152,47,18,15
2026-02-02,111,58,19,8,7
2026-02-03,234,132,45,18,14
2026-02-04,237,126,43,16,13
2026-02-05,187,102,30,12,10
2026-02-06,162,91,27,13,10
