订单号,日期,用户ID,渠道,类目,SKU,数量,单价,实付金额,是否退款
SO202504222,2025-09-01,10560,直播,女装,女装-021,1,269,268.75,否
SO202502585,2025-09-01,10080,直播,美妆,美妆-007,3,159,444.72,否
SO202500701,2025-09-01,10150,直播,女装,女装-034,1,259,222.75,否
SO202501031,2025-09-01,11842,推荐,女装,女装-021,1,269,256.21,否
SO202501630,2025-09-01,10936,直播,男装,男装-005,1,269,251.15,否
SO202504268,2025-09-01,10391,直播,女装,女装-032,1,309,287.14,否
SO202504279,2025-09-01,10636,社群,男装,男装-012,2,139,248.65,否
SO202502623,2025-09-01,11679,推荐,女装,女装-022,1,269,234.99,否
SO202502205,2025-09-01,10235,直播,男装,男装-006,1,199,189.3,是
SO202500053,2025-09-01,11715,直播,男装,男装-018,1,159,158.67,否
SO202503597,2025-09-01,11795,搜索,女装,女装-031,3,189,551.06,否
SO202502171,2025-09-01,11381,直播,美妆,美妆-001,1,129,126.81,否
SO202504013,2025-09-01,10080,搜索,美妆,美妆-002,1,369,336.92,否
SO202503966,2025-09-01,11152,搜索,数码,数码-005,1,2639,2563.35,否
SO202503369,2025-09-01,11976,社群,美妆,美妆-001,3,129,359.62,否
SO202503166,2025-09-01,10063,搜索,美妆,美妆-010,2,389,741.01,否
SO202503944,2025-09-01,10474,搜索,男装,男装-004,2,299,576.46,否
SO202504220,2025-09-02,10981,搜索,美妆,美妆-002,2,369,729.25,否
SO202503007,2025-09-02,10827,直播,美妆,美妆-011,2,129,243.17,否
SO202500491,2025-09-02,10976,推荐,男装,男装-006,3,199,556.23,否
SO202502920,2025-09-02,10037,直播,美妆,美妆-016,1,279,267.49,否
SO202503054,2025-09-02,11988,直播,美妆,美妆-001,1,129,123.39,否
SO202503995,2025-09-02,10193,直播,数码,数码-010,2,2029,3831.29,否
SO202500396,2025-09-02,10286,推荐,女装,女装-014,1,259,233.84,否
SO202502881,2025-09-02,10895,直播,男装,男装-014,1,149,147.84,否
SO202501339,2025-09-02,11842,搜索,女装,女装-001,3,169,502.66,否
SO202500078,2025-09-02,11989,推荐,男装,男装-020,2,299,566.71,否
SO202500956,2025-09-02,11626,社群,家居,家居-015,2,179,347.15,否
SO202504647,2025-09-02,10248,社群,男装,男装-005,2,269,536.26,否
SO202500126,2025-09-03,10082,推荐,男装,男装-015,1,149,145.26,否
SO202500140,2025-09-03,11504,社群,美妆,美妆-011,2,129,242.58,是
SO202501721,2025-09-03,10441,搜索,家居,家居-015,2,179,318.78,是
SO202504497,2025-09-03,10082,搜索,美妆,美妆-003,2,119,234.01,否
SO202501350,2025-09-03,10895,直播,美妆,美妆-007,2,159,305.65,否
SO202503931,2025-09-03,11037,搜索,女装,女装-032,3,309,887.05,否
SO202503050,2025-09-03,10995,直播,数码,数码-010,3,2029,5349.9,否
SO202503210,2025-09-03,11179,直播,美妆,美妆-010,2,389,765.48,否
SO202500570,2025-09-03,11340,社群,美妆,美妆-011,1,129,127.93,否
SO202503425,2025-09-03,10808,搜索,男装,男装-006,1,199,188.19,否
SO202503167,2025-09-03,10461,社群,女装,女装-032,1,309,284.25,否
SO202503812,2025-09-03,11737,直播,美妆,美妆-007,1,159,149.65,否
SO202503267,2025-09-03,11264,搜索,女装,女装-005,1,269,248.53,否
SO202500565,2025-09-03,11309,搜索,女装,女装-032,2,309,530.51,否
SO202503422,2025-09-04,11102,社群,男装,男装-012,2,139,248.13,否
SO202500683,2025-09-04,11212,直播,美妆,美妆-015,3,199,521.81,否
SO202504627,2025-09-04,11106,搜索,美妆,美妆-001,1,129,123.99,是
SO202502256,2025-09-04,10439,直播,女装,女装-012,1,239,203.64,否
SO202502621,2025-09-04,11388,推荐,女装,女装-032,1,309,274.91,否
SO202504826,2025-09-04,10453,直播,女装,女装-003,1,189,163.17,否
SO202501578,2025-09-04,10506,搜索,男装,男装-025,1,169,146.47,否
SO202504079,2025-09-04,11498,搜索,美妆,美妆-018,3,489,1393.91,否
SO202504792,2025-09-04,10366,搜索,美妆,美妆-003,2,119,210.57,否
SO202503850,2025-09-04,11795,搜索,家居,家居-006,2,109,186.28,否
SO202500825,2025-09-05,11777,直播,女装,女装-001,2,169,329.02,否
SO202503052,2025-09-05,10680,直播,家居,家居-004,1,59,56.15,否
SO202504283,2025-09-05,10336,推荐,男装,男装-001,1,329,318.44,否
SO202500198,2025-09-05,10464,直播,男装,男装-025,1,169,151.75,否
SO202503782,2025-09-05,11309,搜索,美妆,美妆-011,2,129,236.7,否
SO202503047,2025-09-05,10429,推荐,男装,男装-005,2,269,533.15,否
SO202500538,2025-09-05,11361,社群,美妆,美妆-007,3,159,466.25,否
SO202504204,2025-09-05,10871,直播,男装,男装-014,2,149,272.07,否
SO202501102,2025-09-05,11833,直播,女装,女装-032,1,309,287.47,否
SO202501148,2025-09-05,10279,推荐,男装,男装-015,2,149,283.36,否
SO202500203,2025-09-05,11929,直播,女装,女装-032,1,309,301.18,否
SO202502154,2025-09-05,11051,搜索,男装,男装-008,2,299,547.03,否
SO202501549,2025-09-05,11078,直播,男装,男装-014,2,149,266.53,否
SO202502367,2025-09-05,10076,社群,男装,男装-008,2,299,584.64,否
SO202500940,2025-09-05,10760,搜索,男装,男装-020,1,299,281.14,否
SO202501328,2025-09-06,11025,直播,女装,女装-011,3,159,440.57,否
SO202500839,2025-09-06,10063,推荐,女装,女装-023,1,169,167.63,否
SO202502962,2025-09-06,10100,直播,美妆,美妆-017,1,359,318.13,否
SO202504241,2025-09-06,11385,社群,女装,女装-021,2,269,530.19,否
SO202503699,2025-09-06,10177,社群,女装,女装-016,2,289,497.97,否
SO202501495,2025-09-06,11974,社群,男装,男装-006,1,199,174.07,否
SO202504055,2025-09-06,11680,搜索,女装,女装-001,3,169,463.9,否
SO202503773,2025-09-06,10181,推荐,数码,数码-010,1,2029,1947.93,是
SO202504110,2025-09-06,10942,直播,女装,女装-031,2,189,359.27,否
SO202502576,2025-09-06,11261,直播,美妆,美妆-014,1,239,216.48,否
SO202503440,2025-09-06,11455,搜索,美妆,美妆-007,2,159,311.48,否
SO202504009,2025-09-06,10486,搜索,男装,男装-008,1,299,264.23,是
SO202501296,2025-09-06,10030,搜索,美妆,美妆-011,2,129,221.22,是
SO202502887,2025-09-06,10838,搜索,女装,女装-027,1,149,141.42,否
SO202503202,2025-09-06,10233,搜索,男装,男装-012,2,139,245.85,否
SO202503994,2025-09-07,10434,推荐,家居,家居-004,1,59,55.47,否
SO202501607,2025-09-07,10593,社群,美妆,美妆-003,1,119,106.24,否
SO202501833,2025-09-07,10711,社群,美妆,美妆-001,1,129,119.14,否
SO202503397,2025-09-07,10979,直播,家居,家居-011,1,119,106.68,否
SO202503025,2025-09-07,10223,搜索,女装,女装-014,2,259,444.25,是
SO202504540,2025-09-07,11448,搜索,女装,女装-025,2,159,287.57,否
SO202502338,2025-09-07,11932,直播,美妆,美妆-007,2,159,304.77,否
SO202500522,2025-09-07,11645,搜索,男装,男装-014,1,149,144.43,否
SO202500452,2025-09-07,10576,社群,男装,男装-006,3,199,567.44,否
SO202502392,2025-09-07,10124,推荐,女装,女装-021,2,269,528.78,否
SO202501100,2025-09-07,11989,直播,女装,女装-022,2,269,462.38,否
SO202504489,2025-09-07,11078,社群,美妆,美妆-007,1,159,145.77,否
SO202503585,2025-09-07,11045,直播,美妆,美妆-014,1,239,229.76,否
SO202503831,2025-09-07,10539,直播,家居,家居-001,1,39,33.75,否
SO202503822,2025-09-08,11539,搜索,男装,男装-007,1,129,127.45,否
SO202501610,2025-09-08,11702,推荐,数码,数码-009,3,1399,4033.0,否
SO202503013,2025-09-08,11479,直播,数码,数码-002,3,859,2255.78,否
SO202502472,2025-09-08,10760,社群,女装,女装-023,3,169,433.98,否
SO202502422,2025-09-08,10902,搜索,美妆,美妆-011,1,129,122.89,否
SO202500789,2025-09-08,11537,直播,男装,男装-006,2,199,388.48,否
SO202502045,2025-09-08,10845,直播,男装,男装-006,2,199,375.95,否
SO202500492,2025-09-08,10663,直播,美妆,美妆-017,2,359,629.31,是
SO202502354,2025-09-08,11344,直播,男装,男装-012,2,139,277.76,否
SO202504560,2025-09-08,10253,推荐,美妆,美妆-001,1,129,125.92,否
SO202504830,2025-09-08,11683,直播,家居,家居-011,1,119,117.75,是
SO202501078,2025-09-09,10627,直播,女装,女装-031,2,189,330.9,否
SO202500868,2025-09-09,11035,社群,男装,男装-022,1,229,215.8,否
SO202504072,2025-09-09,11762,直播,美妆,美妆-001,2,129,230.68,否
SO202503856,2025-09-09,10486,推荐,女装,女装-005,1,269,266.47,否
SO202501971,2025-09-09,11347,搜索,美妆,美妆-002,1,369,332.6,是
SO202504371,2025-09-09,10976,推荐,男装,男装-014,1,149,133.71,否
SO202503946,2025-09-09,11310,搜索,家居,家居-009,3,199,594.02,否
SO202503122,2025-09-09,11170,搜索,数码,数码-003,1,1699,1586.82,否
SO202500443,2025-09-09,10265,搜索,女装,女装-032,1,309,282.84,否
SO202504230,2025-09-09,11023,直播,女装,女装-032,1,309,265.41,否
SO202503408,2025-09-09,10007,直播,美妆,美妆-010,2,389,673.47,否
SO202502657,2025-09-10,10361,直播,女装,女装-023,1,169,167.5,否
SO202504486,2025-09-10,11635,搜索,女装,女装-022,3,269,726.15,否
SO202502407,2025-09-10,11308,搜索,男装,男装-006,2,199,392.38,否
SO202503535,2025-09-10,10223,直播,美妆,美妆-007,2,159,275.66,否
SO202503681,2025-09-10,10557,直播,美妆,美妆-007,1,159,148.13,否
SO202501871,2025-09-10,11980,直播,男装,男装-006,2,199,351.8,否
SO202504633,2025-09-10,10112,直播,女装,女装-035,1,289,262.51,否
SO202504377,2025-09-10,11305,直播,男装,男装-021,3,349,974.58,否
SO202503965,2025-09-10,11366,搜索,男装,男装-005,2,269,482.0,否
SO202504659,2025-09-10,10945,搜索,男装,男装-005,1,269,257.49,是
SO202500157,2025-09-10,10631,推荐,家居,家居-004,2,59,117.1,否
SO202502275,2025-09-10,11562,搜索,家居,家居-007,2,199,353.51,否
SO202502432,2025-09-11,10140,社群,美妆,美妆-011,1,129,128.16,否
SO202502449,2025-09-11,10336,推荐,男装,男装-005,1,269,253.7,否
SO202503021,2025-09-11,11529,推荐,美妆,美妆-001,1,129,111.79,否
SO202503212,2025-09-11,11956,社群,美妆,美妆-014,2,239,476.17,否
SO202500968,2025-09-11,10353,社群,美妆,美妆-010,3,389,1155.3,否
SO202501054,2025-09-11,11503,搜索,男装,男装-014,2,149,277.83,否
SO202501152,2025-09-11,10587,推荐,美妆,美妆-017,2,359,691.27,否
SO202504732,2025-09-11,11432,搜索,女装,女装-032,2,309,610.71,否
SO202502415,2025-09-11,10808,直播,男装,男装-025,1,169,146.42,否
