月份,营收,营业成本,销售费用,管理费用,研发费用,其他收益,预算营收,预算净利润,经营现金流入,经营现金流出
2024-09,8912117,4855856,1117858,628231,487575,14648,9052169,1176782,8020905,6846728
2024-10,8854061,4832320,1067274,649595,495925,32689,9367680,1217798,8862770,6803499
2024-11,9395031,5227280,1149134,648257,578725,33300,9417877,1224324,9313885,7342032
2024-12,9252969,5129710,1157087,658620,521665,50388,9224020,1199123,9274279,7210596
2025-01,8152610,4524314,883276,647317,476825,42527,8875944,1153873,8317664,6305516
2025-02,6542239,3632054,768338,658241,426534,35353,8510255,1106333,6783794,5303564
2025-03,8103987,4665464,941983,667692,474691,51950,8274851,1075731,7869725,6516557
2025-04,8010026,4366449,920264,658638,504232,12169,8288916,1077559,8024120,6231261
2025-05,8394942,4565615,988915,672137,472346,20404,8609155,1119190,8337205,6470732
2025-06,8757104,4730892,1155583,660521,518230,16101,9211774,1197531,8702780,6828682
2025-07,10009231,5579063,1131777,667845,562518,24153,9995754,1299448,9821412,7662250
2025-08,10789841,6080590,1378361,670932,632758,9350,10807409,1404963,10672749,8458611
2025-09,11222518,6157039,1195614,663223,711073,39527,11480339,1492444,11157616,8419097
2025-10,11982681,6469667,1405819,689522,636169,26667,11880483,1544463,11868657,8877694
2025-11,11816258,6382035,1433336,679843,729509,7938,11944145,1552739,11841222,8905620
2025-12,11118751,6202119,1386395,689889,677698,14766,11698288,1520777,11223377,8645995
2026-01,11103777,6206113,1395632,699830,639837,34703,11256843,1463390,11106024,8631106
2026-02,8386066,4666995,1059552,702853,454657,42572,10793061,1403098,8793723,6650708
2026-03,10508370,5695682,1231688,709431,633534,59951,10494512,1364287,10190024,7985552
2026-04,10240590,5660854,1190993,702229,592746,73708,10512349,1366605,10280757,7863779
2026-05,10593110,5841043,1343882,701147,645446,36216,10918490,1419404,10540232,8239466
2026-06,11164978,6170038,1322710,709536,670875,15157,11682756,1518758,11079198,8564656
2026-07,12821443,7185869,1407724,690120,851435,-1981,12677033,1648014,12572973,9775855
2026-08,13310114,7356276,1476540,697019,785863,34016,13706408,1781833,13236814,9947884
