日期,基金代码,基金名称,单位净值
2023-09-01,F30021,蓝筹增强A,0.9892
2023-09-04,F30021,蓝筹增强A,0.9856
2023-09-05,F30021,蓝筹增强A,0.9702
2023-09-06,F30021,蓝筹增强A,0.9553
2023-09-07,F30021,蓝筹增强A,0.9345
2023-09-08,F30021,蓝筹增强A,0.9303
2023-09-11,F30021,蓝筹增强A,0.9311
2023-09-12,F30021,蓝筹增强A,0.9273
2023-09-13,F30021,蓝筹增强A,0.9087
2023-09-14,F30021,蓝筹增强A,0.8888
2023-09-15,F30021,蓝筹增强A,0.889
2023-09-18,F30021,蓝筹增强A,0.8971
2023-09-19,F30021,蓝筹增强A,0.8998
2023-09-20,F30021,蓝筹增强A,0.9193
2023-09-21,F30021,蓝筹增强A,0.919
2023-09-22,F30021,蓝筹增强A,0.9224
2023-09-25,F30021,蓝筹增强A,0.9223
2023-09-26,F30021,蓝筹增强A,0.9143
2023-09-27,F30021,蓝筹增强A,0.9127
2023-09-28,F30021,蓝筹增强A,0.9216
2023-09-29,F30021,蓝筹增强A,0.931
2023-10-02,F30021,蓝筹增强A,0.9349
2023-10-03,F30021,蓝筹增强A,0.952
2023-10-04,F30021,蓝筹增强A,0.9571
2023-10-05,F30021,蓝筹增强A,0.9608
2023-10-06,F30021,蓝筹增强A,0.9775
2023-10-09,F30021,蓝筹增强A,0.9697
2023-10-10,F30021,蓝筹增强A,0.9857
2023-10-11,F30021,蓝筹增强A,0.975
2023-10-12,F30021,蓝筹增强A,0.9722
2023-10-13,F30021,蓝筹增强A,0.9522
2023-10-16,F30021,蓝筹增强A,0.955
2023-10-17,F30021,蓝筹增强A,0.9697
2023-10-18,F30021,蓝筹增强A,0.9595
2023-10-19,F30021,蓝筹增强A,0.9566
2023-10-20,F30021,蓝筹增强A,0.9543
2023-10-23,F30021,蓝筹增强A,0.9521
2023-10-24,F30021,蓝筹增强A,0.9409
2023-10-25,F30021,蓝筹增强A,0.9415
2023-10-26,F30021,蓝筹增强A,0.9586
2023-10-27,F30021,蓝筹增强A,0.9532
2023-10-30,F30021,蓝筹增强A,0.9559
2023-10-31,F30021,蓝筹增强A,0.9584
2023-11-01,F30021,蓝筹增强A,0.9542
2023-11-02,F30021,蓝筹增强A,0.9574
2023-11-03,F30021,蓝筹增强A,0.9534
2023-11-06,F30021,蓝筹增强A,0.9581
2023-11-07,F30021,蓝筹增强A,0.9574
2023-11-08,F30021,蓝筹增强A,0.9424
2023-11-09,F30021,蓝筹增强A,0.9234
2023-11-10,F30021,蓝筹增强A,0.9013
2023-11-13,F30021,蓝筹增强A,0.8972
2023-11-14,F30021,蓝筹增强A,0.9059
2023-11-15,F30021,蓝筹增强A,0.8985
2023-11-16,F30021,蓝筹增强A,0.8961
2023-11-17,F30021,蓝筹增强A,0.8896
2023-11-20,F30021,蓝筹增强A,0.8813
2023-11-21,F30021,蓝筹增强A,0.9038
2023-11-22,F30021,蓝筹增强A,0.8957
2023-11-23,F30021,蓝筹增强A,0.8821
2023-11-24,F30021,蓝筹增强A,0.8733
2023-11-27,F30021,蓝筹增强A,0.8742
2023-11-28,F30021,蓝筹增强A,0.8686
2023-11-29,F30021,蓝筹增强A,0.8716
2023-11-30,F30021,蓝筹增强A,0.8645
2023-12-01,F30021,蓝筹增强A,0.8588
2023-12-04,F30021,蓝筹增强A,0.852
2023-12-05,F30021,蓝筹增强A,0.8513
2023-12-06,F30021,蓝筹增强A,0.8583
2023-12-07,F30021,蓝筹增强A,0.8665
2023-12-08,F30021,蓝筹增强A,0.8806
2023-12-11,F30021,蓝筹增强A,0.8677
2023-12-12,F30021,蓝筹增强A,0.8576
2023-12-13,F30021,蓝筹增强A,0.8488
2023-12-14,F30021,蓝筹增强A,0.8488
2023-12-15,F30021,蓝筹增强A,0.8386
2023-12-18,F30021,蓝筹增强A,0.8322
2023-12-19,F30021,蓝筹增强A,0.8388
2023-12-20,F30021,蓝筹增强A,0.8492
2023-12-21,F30021,蓝筹增强A,0.856
2023-12-22,F30021,蓝筹增强A,0.8593
2023-12-25,F30021,蓝筹增强A,0.8529
2023-12-26,F30021,蓝筹增强A,0.8533
2023-12-27,F30021,蓝筹增强A,0.8645
2023-12-28,F30021,蓝筹增强A,0.8712
2023-12-29,F30021,蓝筹增强A,0.8801
2024-01-01,F30021,蓝筹增强A,0.8898
2024-01-02,F30021,蓝筹增强A,0.8866
2024-01-03,F30021,蓝筹增强A,0.8932
2024-01-04,F30021,蓝筹增强A,0.8894
2024-01-05,F30021,蓝筹增强A,0.8956
2024-01-08,F30021,蓝筹增强A,0.9083
2024-01-09,F30021,蓝筹增强A,0.9246
2024-01-10,F30021,蓝筹增强A,0.9311
2024-01-11,F30021,蓝筹增强A,0.9354
2024-01-12,F30021,蓝筹增强A,0.9504
2024-01-15,F30021,蓝筹增强A,0.9412
2024-01-16,F30021,蓝筹增强A,0.957
2024-01-17,F30021,蓝筹增强A,0.9585
2024-01-18,F30021,蓝筹增强A,0.9601
2024-01-19,F30021,蓝筹增强A,0.9554
2024-01-22,F30021,蓝筹增强A,0.9428
2024-01-23,F30021,蓝筹增强A,0.9589
2024-01-24,F30021,蓝筹增强A,0.9634
2024-01-25,F30021,蓝筹增强A,0.9595
2024-01-26,F30021,蓝筹增强A,0.9635
2024-01-29,F30021,蓝筹增强A,0.9599
2024-01-30,F30021,蓝筹增强A,0.9416
2024-01-31,F30021,蓝筹增强A,0.9398
2024-02-01,F30021,蓝筹增强A,0.925
2024-02-02,F30021,蓝筹增强A,0.9276
2024-02-05,F30021,蓝筹增强A,0.9447
2024-02-06,F30021,蓝筹增强A,0.9379
2024-02-07,F30021,蓝筹增强A,0.9465
2024-02-08,F30021,蓝筹增强A,0.9398
2024-02-09,F30021,蓝筹增强A,0.9397
2024-02-12,F30021,蓝筹增强A,0.9305
2024-02-13,F30021,蓝筹增强A,0.9372
2024-02-14,F30021,蓝筹增强A,0.9518
2024-02-15,F30021,蓝筹增强A,0.954
2024-02-16,F30021,蓝筹增强A,0.96
2024-02-19,F30021,蓝筹增强A,0.966
2024-02-20,F30021,蓝筹增强A,0.9634
2024-02-21,F30021,蓝筹增强A,0.9779
2024-02-22,F30021,蓝筹增强A,0.9723
2024-02-23,F30021,蓝筹增强A,0.9552
2024-02-26,F30021,蓝筹增强A,0.9454
2024-02-27,F30021,蓝筹增强A,0.9521
2024-02-28,F30021,蓝筹增强A,0.9481
2024-02-29,F30021,蓝筹增强A,0.9492
2024-03-01,F30021,蓝筹增强A,0.9468
2024-03-04,F30021,蓝筹增强A,0.9488
2024-03-05,F30021,蓝筹增强A,0.9609
