日期,区域,城市,产品线,销售额,销量,毛利
2025-09-01,华东,南京,标准版,3418.23,1,1481.79
2025-09-02,华中,武汉,标准版,11056.85,3,4931.24
2025-09-02,华南,深圳,标准版,8162.7,8,3738.25
2025-09-02,西南,成都,标准版,22472.17,11,9940.84
2025-09-02,华东,南京,配件,7479.03,3,2509.15
2025-09-02,西南,成都,标准版,5676.06,3,2439.0
2025-09-03,华北,北京,标准版,26420.71,20,11013.13
2025-09-03,华北,北京,配件,27610.1,22,8940.75
2025-09-05,华东,上海,配件,7088.24,2,2532.33
2025-09-05,西南,成都,旗舰版,37226.41,17,23662.45
2025-09-05,华南,深圳,标准版,15467.4,6,7005.7
2025-09-05,华东,上海,标准版,20554.9,7,8935.99
2025-09-07,华北,天津,标准版,3838.01,2,1589.66
2025-09-07,华中,武汉,专业版,18191.37,8,10015.13
2025-09-07,华东,上海,专业版,37075.23,15,20522.13
2025-09-08,华东,南京,旗舰版,9735.98,4,5648.21
2025-09-08,华北,天津,标准版,32715.54,15,13005.17
2025-09-09,华中,长沙,旗舰版,14640.81,7,9131.35
2025-09-09,华南,深圳,专业版,12076.3,6,7161.94
2025-09-09,华北,天津,标准版,11318.42,6,4439.11
2025-09-09,华南,深圳,标准版,12029.57,6,5589.58
2025-09-10,华东,上海,标准版,4806.38,5,2001.89
2025-09-10,华东,上海,配件,5143.66,1,1876.3
2025-09-10,华东,南京,旗舰版,4053.02,2,2579.05
2025-09-11,华东,杭州,专业版,8215.46,6,4628.66
2025-09-11,华南,广州,旗舰版,7744.13,5,4791.01
2025-09-11,华南,广州,配件,26288.17,16,8553.06
2025-09-12,华中,长沙,配件,17091.72,6,6154.26
2025-09-12,华北,北京,配件,8258.05,8,2827.66
2025-09-12,华中,武汉,配件,13866.43,11,4882.49
2025-09-13,华东,杭州,专业版,6460.29,2,3663.21
2025-09-13,西南,重庆,标准版,4957.78,3,2076.7
2025-09-13,华东,杭州,旗舰版,5076.54,2,2841.75
2025-09-14,华南,深圳,标准版,27748.31,10,12419.96
2025-09-14,华北,北京,专业版,3147.45,2,1807.98
2025-09-14,华北,北京,配件,7203.55,3,2720.92
2025-09-15,西南,重庆,配件,4679.19,2,1693.73
2025-09-15,华东,上海,标准版,5531.63,3,2210.59
2025-09-15,西南,成都,标准版,5330.55,2,2425.0
2025-09-15,华东,上海,标准版,5736.93,3,2582.29
2025-09-15,华南,广州,配件,5593.96,2,2144.57
2025-09-15,华东,南京,专业版,7129.07,4,4209.94
2025-09-16,华东,南京,旗舰版,7778.06,3,4808.81
2025-09-17,华南,广州,旗舰版,10857.96,8,7006.1
2025-09-17,华南,深圳,配件,12333.89,4,4572.13
2025-09-17,华南,广州,标准版,21525.52,7,8784.81
2025-09-18,华东,杭州,专业版,19013.02,10,11321.34
2025-09-18,华东,杭州,标准版,10299.52,4,4605.37
2025-09-20,西南,成都,专业版,20094.37,8,11496.45
2025-09-20,华北,天津,配件,16012.89,6,5932.57
2025-09-20,西南,重庆,标准版,3988.65,1,1721.38
2025-09-20,华南,深圳,专业版,19350.32,6,10386.82
2025-09-21,华北,北京,配件,7048.16,7,2419.81
2025-09-21,华中,长沙,专业版,3201.69,2,1907.65
2025-09-22,华东,上海,标准版,11379.61,4,4421.24
2025-09-22,华南,深圳,标准版,7039.28,3,3064.39
2025-09-22,华北,天津,配件,3808.15,1,1361.17
2025-09-22,华中,武汉,配件,10165.98,3,3563.59
2025-09-22,西南,重庆,标准版,15575.38,5,6409.26
2025-09-23,华南,深圳,专业版,13066.78,4,6905.81
2025-09-23,华东,杭州,专业版,9174.01,3,5187.6
2025-09-23,华东,上海,专业版,7150.31,6,3683.67
2025-09-23,华中,长沙,专业版,6155.3,3,3945.48
2025-09-24,华东,南京,配件,24916.85,13,8367.75
2025-09-24,华东,上海,标准版,3627.16,3,1408.3
2025-09-24,华南,广州,配件,5254.28,4,1963.48
2025-09-25,华东,南京,专业版,12114.19,5,6793.29
2025-09-25,华南,广州,旗舰版,7286.2,6,4718.6
2025-09-25,华南,广州,标准版,8458.0,3,3389.48
2025-09-25,华北,天津,专业版,2831.8,3,1604.34
2025-09-25,华东,杭州,专业版,9596.37,6,5489.45
2025-09-26,西南,成都,标准版,28781.87,11,12612.5
2025-09-26,华东,杭州,专业版,7052.07,3,3543.45
2025-09-28,华东,南京,标准版,13404.38,5,5969.89
2025-09-28,华北,北京,专业版,44965.66,15,25478.07
2025-09-30,华北,天津,专业版,12752.46,11,6985.96
2025-09-30,华南,广州,专业版,32905.7,15,18961.0
2025-09-30,华北,北京,专业版,6775.2,2,3845.42
2025-10-01,华北,天津,标准版,5174.88,2,2111.88
2025-10-01,华中,武汉,旗舰版,13178.08,6,8499.34
2025-10-01,华东,上海,标准版,17717.04,6,7800.06
2025-10-02,华南,深圳,专业版,7472.12,3,4413.22
2025-10-02,华东,南京,标准版,4655.44,3,1917.09
2025-10-02,华东,杭州,专业版,4172.75,1,2014.48
2025-10-03,华北,天津,标准版,2037.64,1,868.85
2025-10-03,华南,深圳,旗舰版,6877.49,5,4087.93
2025-10-04,华东,南京,标准版,15177.32,6,6362.6
2025-10-04,华北,北京,配件,4126.45,2,1483.96
2025-10-05,华东,上海,标准版,4163.35,3,1870.32
2025-10-05,华中,长沙,旗舰版,9940.83,4,5978.84
2025-10-05,华南,深圳,专业版,13390.9,9,7108.17
2025-10-05,西南,成都,专业版,34176.09,14,18084.15
2025-10-05,华北,北京,标准版,2807.1,2,1154.36
2025-10-06,西南,成都,专业版,6381.46,2,3474.26
2025-10-06,华东,南京,标准版,13914.06,5,5939.33
2025-10-07,华中,长沙,旗舰版,4556.08,2,2845.75
2025-10-08,华中,长沙,专业版,18286.81,9,10428.68
2025-10-08,华北,北京,标准版,8268.35,3,3557.9
2025-10-08,华东,上海,标准版,12264.83,5,5280.53
2025-10-08,华东,上海,旗舰版,14449.1,5,9509.47
2025-10-08,华南,深圳,配件,6159.64,2,2189.9
2025-10-09,华北,天津,标准版,16677.67,19,7106.34
2025-10-09,华中,武汉,专业版,12618.29,10,7518.75
2025-10-10,华南,深圳,标准版,31510.67,19,13202.8
2025-10-12,华东,上海,旗舰版,11461.03,6,6690.52
2025-10-12,华东,上海,标准版,10540.71,3,4515.97
2025-10-12,华东,上海,旗舰版,15058.14,11,9740.9
2025-10-13,华中,长沙,专业版,2062.2,1,1129.7
2025-10-13,华南,广州,专业版,29543.69,13,15752.25
2025-10-13,华北,北京,旗舰版,17400.27,12,11263.85
2025-10-14,华南,广州,标准版,3595.59,1,1609.86
2025-10-14,华南,深圳,旗舰版,7460.86,4,4404.96
2025-10-15,华南,广州,标准版,1288.48,1,550.09
2025-10-15,华中,武汉,专业版,7377.65,2,4122.45
2025-10-16,西南,成都,标准版,5616.93,3,2283.41
2025-10-16,华中,武汉,标准版,9245.04,4,3814.25
2025-10-17,华中,长沙,专业版,19108.07,7,10688.45
2025-10-17,华东,上海,配件,33084.79,11,11746.38
2025-10-17,华北,北京,配件,16632.56,6,5925.63
2025-10-17,西南,成都,旗舰版,13424.95,6,7864.78
2025-10-17,华北,天津,标准版,27612.6,11,11068.97
2025-10-18,华北,北京,标准版,4638.0,1,1968.66
2025-10-18,华中,武汉,配件,6013.18,2,2143.23
2025-10-18,华东,杭州,旗舰版,5373.07,2,3383.14
2025-10-19,西南,重庆,标准版,9605.39,3,3880.96
2025-10-19,华南,广州,标准版,4835.15,4,1994.95
2025-10-19,华中,武汉,专业版,911.33,1,500.59
2025-10-19,华北,天津,标准版,11992.19,6,4436.59
2025-10-19,华南,广州,配件,23158.47,20,7210.37
2025-10-19,华北,天津,旗舰版,16064.09,8,9543.77
2025-10-20,西南,成都,配件,7783.11,3,2766.69
2025-10-20,华东,南京,专业版,9189.96,4,4983.56
2025-10-20,华东,南京,专业版,9826.72,11,5254.19
2025-10-21,西南,重庆,旗舰版,6642.86,2,3827.8
2025-10-21,华北,天津,标准版,11275.71,8,4672.98
2025-10-21,华东,杭州,专业版,7629.25,5,4328.31
2025-10-22,华东,南京,配件,4567.64,2,1601.37
