工号,部门,性别,年龄,司龄,职级,月薪档,在职状态
E1001,销售,男,33,1.3,P4,25-35k,在职
E1002,技术,女,34,1.6,P3,15-25k,在职
E1003,职能,女,33,0.3,P2,10-15k,在职
E1004,技术,男,32,1.6,P3,15-25k,本年离职
E1005,职能,女,43,1.1,P3,15-25k,在职
E1006,技术,女,37,2.1,P4,25-35k,在职
E1007,职能,男,22,0.0,P2,10-15k,在职
E1008,技术,女,29,4.7,P3,15-25k,在职
E1009,技术,男,39,1.7,P5,35-50k,在职
E1010,产品,男,26,1.6,P2,10-15k,在职
E1011,职能,男,31,1.5,P4,25-35k,在职
E1012,技术,女,31,0.6,P3,15-25k,在职
E1013,职能,男,40,0.1,P2,10-15k,在职
E1014,技术,女,24,2.0,P6,50k+,在职
E1015,客服,女,25,1.5,P4,25-35k,在职
E1016,技术,女,34,1.0,P3,15-25k,本年离职
E1017,技术,男,33,0.6,P3,15-25k,在职
E1018,市场,男,34,0.2,P2,10-15k,在职
E1019,技术,男,32,5.2,P2,10-15k,在职
E1020,销售,女,30,0.2,P5,35-50k,在职
E1021,职能,男,34,10.4,P3,15-25k,在职
E1022,职能,男,32,2.9,P2,10-15k,在职
E1023,技术,男,29,7.0,P4,25-35k,在职
E1024,技术,男,30,0.1,P3,15-25k,在职
E1025,技术,男,27,1.3,P2,10-15k,在职
E1026,产品,男,26,3.1,P2,10-15k,本年离职
E1027,职能,女,34,5.9,P5,35-50k,在职
E1028,销售,女,23,1.0,P3,15-25k,本年离职
E1029,客服,男,35,1.0,P3,15-25k,在职
E1030,市场,女,29,2.5,P3,15-25k,在职
E1031,销售,男,30,0.1,P3,15-25k,本年离职
E1032,销售,女,29,0.6,P3,15-25k,在职
E1033,产品,男,34,2.4,P5,35-50k,在职
E1034,产品,男,39,2.9,P2,10-15k,在职
E1035,技术,男,41,2.3,P2,10-15k,在职
E1036,技术,女,37,0.6,P6,50k+,在职
E1037,客服,男,31,5.0,P2,10-15k,在职
E1038,职能,女,35,3.6,P5,35-50k,在职
E1039,技术,男,22,0.0,P4,25-35k,在职
E1040,技术,男,34,5.7,P4,25-35k,在职
E1041,职能,女,33,1.8,P2,10-15k,在职
E1042,销售,男,22,0.0,P1,6-10k,在职
E1043,技术,男,27,1.3,P2,10-15k,在职
E1044,职能,男,32,1.8,P3,15-25k,在职
E1045,职能,男,33,2.6,P4,25-35k,在职
E1046,技术,男,36,0.7,P3,15-25k,在职
E1047,职能,女,41,0.4,P1,6-10k,本年离职
E1048,客服,女,30,2.8,P1,6-10k,在职
E1049,市场,男,24,2.0,P3,15-25k,在职
E1050,职能,男,35,9.3,P1,6-10k,在职
E1051,技术,男,38,2.8,P4,25-35k,在职
E1052,销售,女,38,3.5,P2,10-15k,在职
