问卷ID,部门,敬业度,薪酬满意度,管理满意度,成长满意度,工作生活平衡,NPS
Q5001,技术,4,4,4,3,4,7
Q5002,产品,4,4,3,4,4,7
Q5003,技术,3,4,4,5,3,10
Q5004,技术,4,3,3,5,4,5
Q5005,销售,4,3,4,4,3,8
Q5006,技术,5,3,4,5,3,9
Q5007,产品,4,3,3,4,3,7
Q5008,职能,3,3,4,4,3,8
Q5009,市场,4,3,3,4,3,8
Q5010,产品,4,3,3,4,3,7
Q5011,技术,4,3,3,4,4,6
Q5012,技术,5,4,3,5,4,6
Q5013,销售,3,2,2,3,3,10
Q5014,销售,2,3,3,4,2,6
Q5015,职能,4,3,4,3,4,8
Q5016,技术,4,3,4,4,4,10
Q5017,客服,3,2,3,5,3,6
Q5018,技术,3,4,4,4,3,8
Q5019,产品,3,2,2,5,3,9
Q5020,客服,3,3,3,4,3,4
Q5021,客服,3,3,1,2,2,3
Q5022,销售,3,2,3,3,2,5
Q5023,技术,3,4,4,4,3,10
Q5024,销售,5,2,4,2,4,5
Q5025,职能,5,3,4,4,4,8
Q5026,技术,4,3,4,4,3,5
Q5027,技术,4,5,5,3,3,10
Q5028,销售,5,3,5,3,3,6
Q5029,职能,5,3,4,5,3,7
Q5030,销售,3,2,3,1,4,6
Q5031,技术,4,3,4,4,2,10
Q5032,客服,3,2,3,4,4,7
Q5033,客服,3,3,3,3,4,6
Q5034,市场,3,3,4,5,3,1
Q5035,技术,4,4,2,4,3,10
Q5036,技术,4,4,4,3,4,6
Q5037,市场,4,3,5,4,3,5
Q5038,职能,5,4,4,4,3,6
Q5039,销售,3,2,3,3,2,10
Q5040,产品,4,2,2,4,3,7
Q5041,客服,2,4,3,3,3,3
Q5042,产品,4,3,4,3,4,7
Q5043,客服,4,4,3,2,3,4
Q5044,销售,4,3,3,4,3,7
Q5045,市场,3,5,4,3,3,6
Q5046,技术,4,3,3,3,4,4
Q5047,技术,5,4,3,3,3,8
Q5048,客服,3,3,4,3,4,6
Q5049,职能,4,3,4,4,3,5
Q5050,销售,4,3,3,4,3,2
